applicant_id,question,skill,rating,rating_num
1915,technologies_tools,git,user,2
1916,technologies_tools,git,beginner,1
1976,technologies_tools,git,beginner,1
1915,technologies_tools,rstats,beginner,1
1916,technologies_tools,rstats,beginner,1
1976,technologies_tools,rstats,user,2
1915,technologies_tools,github_projects_issues,advanced,3
1976,technologies_tools,github_projects_issues,user,2
2012,technologies_tools,github_projects_issues,beginner,1
2013,technologies_tools,github_projects_issues,beginner,1
1915,technologies_tools,trello,advanced,3
1976,technologies_tools,trello,beginner,1
2012,technologies_tools,trello,beginner,1
2013,technologies_tools,trello,beginner,1
1915,technologies_tools,shiny,user,2
1916,technologies_tools,shiny,beginner,1
1976,technologies_tools,shiny,user,2
1915,technologies_tools,css,user,2
1976,technologies_tools,css,user,2
1915,technologies_tools,crunch,advanced,3
1976,technologies_tools,crunch,user,2
1915,technologies_tools,flourish,user,2
1976,technologies_tools,flourish,user,2
1915,techniques,data_visualization,advanced,3
1916,techniques,data_visualization,user,2
1976,techniques,data_visualization,beginner,1
1915,techniques,dashboard_development,user,2
1916,techniques,dashboard_development,user,2
1976,techniques,dashboard_development,beginner,1
1915,techniques,team_coordination,user,2
1976,techniques,team_coordination,beginner,1
2012,techniques,team_coordination,user,2
2013,techniques,team_coordination,expert,4
1915,techniques,working_agile,user,2
1976,techniques,working_agile,user,2
2012,techniques,working_agile,user,2
2013,techniques,working_agile,expert,4
1915,techniques,apis,user,2
1976,techniques,apis,user,2
1915,techniques,project_management,advanced,3
1976,techniques,project_management,user,2
2012,techniques,project_management,advanced,3
2013,techniques,project_management,expert,4
1915,techniques,kanban,advanced,3
1976,techniques,kanban,user,2
2012,techniques,kanban,advanced,3
2013,techniques,kanban,expert,4
1915,techniques,software_development,user,2
1916,techniques,software_development,user,2
1976,techniques,software_development,user,2
1915,techniques,survey_statistics,user,2
1976,techniques,survey_statistics,user,2
1915,techniques,ux,user,2
1916,techniques,ux,user,2
1976,techniques,ux,user,2
1915,techniques,diversity,user,2
1976,techniques,diversity,advanced,3
2012,techniques,diversity,advanced,3
2013,techniques,diversity,expert,4
1916,techniques,ux_design,user,2
1976,techniques,ux_design,user,2
1976,techniques,data_cleaning,beginner,1
1976,techniques,software_testing,user,2
1976,techniques,survey_research,user,2
